AEBODSYS,AETERM,col1,param,value,col2,AETERM_ORD,AEBODSYS_ORD
ATRIAL FLUTTER,CARDIAC DISORDERS,Xanomeline High Dose,n,2,n_aes,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Xanomeline Low Dose,n,1,n_aes,2,2
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,3
ATRIAL HYPERTROPHY,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,3
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Placebo,n,1,n_aes,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,2,4
ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,Xanomeline Low Dose,n,1,n_aes,2,4
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Placebo,distinct_n,2,n_pct,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Placebo,distinct_pct,0.02898550724637681,n_pct,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,1,n_pct,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Xanomeline High Dose,n,2,n_aes,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,2,n_pct,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,2,5
ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,Xanomeline Low Dose,n,2,n_aes,2,5
BRADYCARDIA,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,6
BRADYCARDIA,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,6
BRADYCARDIA,CARDIAC DISORDERS,Placebo,n,4,n_aes,2,6
BRADYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,6
BRADYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,6
BRADYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,6
BRADYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,6
BRADYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,6
BRADYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,6
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Placebo,n,1,n_aes,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,7
BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,7
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,2,8
BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,Xanomeline Low Dose,n,1,n_aes,2,8
CARDIAC DISORDER,CARDIAC DISORDERS,Placebo,distinct_n,0,n_pct,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Placebo,distinct_pct,0,n_pct,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Placebo,n,0,n_aes,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,1,n_pct,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Xanomeline High Dose,n,1,n_aes,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,9
CARDIAC DISORDER,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,9
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Placebo,n,1,n_aes,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,11
CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,11
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Placebo,distinct_n,4,n_pct,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Placebo,distinct_pct,0.05797101449275362,n_pct,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Placebo,n,4,n_aes,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,4,n_pct,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.05714285714285714,n_pct,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Xanomeline High Dose,n,8,n_aes,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,2,n_pct,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,2,12
MYOCARDIAL INFARCTION,CARDIAC DISORDERS,Xanomeline Low Dose,n,4,n_aes,2,12
PALPITATIONS,CARDIAC DISORDERS,Placebo,distinct_n,0,n_pct,2,13
PALPITATIONS,CARDIAC DISORDERS,Placebo,distinct_pct,0,n_pct,2,13
PALPITATIONS,CARDIAC DISORDERS,Placebo,n,0,n_aes,2,13
PALPITATIONS,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,13
PALPITATIONS,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,13
PALPITATIONS,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,13
PALPITATIONS,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,2,n_pct,2,13
PALPITATIONS,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,2,13
PALPITATIONS,CARDIAC DISORDERS,Xanomeline Low Dose,n,2,n_aes,2,13
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,14
SINUS ARRHYTHMIA,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,14
SINUS BRADYCARDIA,CARDIAC DISORDERS,Placebo,distinct_n,2,n_pct,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Placebo,distinct_pct,0.02898550724637681,n_pct,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,8,n_pct,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.11428571428571428,n_pct,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,n,12,n_aes,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,7,n_pct,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.08139534883720931,n_pct,2,15
SINUS BRADYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,n,10,n_aes,2,15
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,1,n_pct,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline High Dose,n,1,n_aes,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,2,16
SUPRAVENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline Low Dose,n,2,n_aes,2,16
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Placebo,distinct_n,0,n_pct,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Placebo,distinct_pct,0,n_pct,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Placebo,n,0,n_aes,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,2,17
SUPRAVENTRICULAR TACHYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,n,2,n_aes,2,17
TACHYCARDIA,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,18
TACHYCARDIA,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,18
TACHYCARDIA,CARDIAC DISORDERS,Placebo,n,2,n_aes,2,18
TACHYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,18
TACHYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,18
TACHYCARDIA,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,18
TACHYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,18
TACHYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,18
TACHYCARDIA,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,18
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Placebo,distinct_n,0,n_pct,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Placebo,distinct_pct,0,n_pct,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Placebo,n,0,n_aes,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,1,n_pct,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline High Dose,n,1,n_aes,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,2,n_pct,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,2,19
VENTRICULAR EXTRASYSTOLES,CARDIAC DISORDERS,Xanomeline Low Dose,n,4,n_aes,2,19
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Placebo,n,1,n_aes,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,0,n_pct,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0,n_pct,2,20
VENTRICULAR HYPERTROPHY,CARDIAC DISORDERS,Xanomeline Low Dose,n,0,n_aes,2,20
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Placebo,distinct_n,0,n_pct,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Placebo,distinct_pct,0,n_pct,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Placebo,n,0,n_aes,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Xanomeline High Dose,n,0,n_aes,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,2,21
WOLFF-PARKINSON-WHITE SYNDROME,CARDIAC DISORDERS,Xanomeline Low Dose,n,2,n_aes,2,21
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Placebo,distinct_n,0,n_pct,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Placebo,distinct_pct,0,n_pct,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Placebo,n,0,n_aes,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline High Dose,distinct_n,2,n_pct,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline High Dose,n,2,n_aes,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline Low Dose,distinct_n,1,n_pct,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,3,1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline Low Dose,n,1,n_aes,3,1
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Placebo,distinct_n,0,n_pct,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Placebo,distinct_pct,0,n_pct,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Placebo,n,0,n_aes,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline High Dose,distinct_n,2,n_pct,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline High Dose,n,2,n_aes,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline Low Dose,distinct_n,1,n_pct,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,3,2
VENTRICULAR SEPTAL DEFECT,"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",Xanomeline Low Dose,n,1,n_aes,3,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Placebo,distinct_n,1,n_pct,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Placebo,n,2,n_aes,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Xanomeline High Dose,distinct_n,1,n_pct,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Xanomeline High Dose,n,1,n_aes,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Xanomeline Low Dose,distinct_n,2,n_pct,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,4,2
EAR AND LABYRINTH DISORDERS,EAR AND LABYRINTH DISORDERS,Xanomeline Low Dose,n,3,n_aes,4,2
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Placebo,distinct_n,0,n_pct,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Placebo,distinct_pct,0,n_pct,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Placebo,n,0,n_aes,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Xanomeline High Dose,distinct_n,0,n_pct,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Xanomeline High Dose,distinct_pct,0,n_pct,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Xanomeline High Dose,n,0,n_aes,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Xanomeline Low Dose,distinct_n,1,n_pct,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,4,1
CERUMEN IMPACTION,EAR AND LABYRINTH DISORDERS,Xanomeline Low Dose,n,1,n_aes,4,1
EAR PAIN,EAR AND LABYRINTH DISORDERS,Placebo,distinct_n,1,n_pct,4,3
EAR PAIN,EAR AND LABYRINTH DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,4,3
